,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Result
612,38,4,18,1,12,5,5,6,6,0,2,0,2,14,0
613,35,6,17,2,9,5,6,7,11,1,3,4,5,19,1
614,37,12,23,4,10,5,6,4,5,0,3,3,1,33,1
615,35,9,18,5,12,10,11,8,8,0,4,0,3,33,1
616,33,7,16,2,9,4,5,3,8,0,4,0,4,20,1
617,35,9,20,6,8,2,2,7,7,0,5,3,5,26,1
618,42,11,23,5,10,4,5,7,4,0,2,4,5,31,1
619,37,9,19,8,14,3,3,5,6,0,1,2,9,29,0
620,35,13,21,9,13,4,4,6,7,1,2,2,4,39,1
621,43,7,25,4,14,3,3,6,15,0,3,4,3,21,0
622,36,11,19,3,7,2,2,5,9,0,2,2,3,27,1
623,34,7,22,3,14,0,0,9,8,0,1,1,2,17,1
624,35,13,22,4,9,7,7,5,5,0,2,4,4,37,1
625,30,15,24,10,19,6,6,4,6,0,2,2,2,46,1
626,20,8,13,5,7,3,3,7,2,0,3,0,4,24,1
627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,19,2,9,1,7,1,1,0,5,0,1,0,5,6,1
630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,37,16,32,5,16,3,3,9,8,0,0,2,4,40,1
635,37,10,20,5,11,4,4,5,11,0,1,2,4,29,1
636,40,9,22,6,14,2,2,10,7,0,3,3,7,26,0
637,30,9,15,5,8,5,5,2,3,0,1,0,3,28,1
638,30,7,17,3,11,7,8,5,3,0,2,1,1,24,0
639,39,6,20,2,10,5,7,5,5,0,2,2,6,19,0
640,37,9,20,3,8,10,10,7,6,0,5,0,5,31,1
641,41,9,22,6,14,7,9,10,9,0,2,3,3,31,1
642,40,13,24,7,12,3,3,5,8,0,0,1,3,36,1
643,36,4,15,3,8,0,0,5,6,0,0,2,5,11,1
644,25,7,11,4,8,0,0,9,4,1,0,4,4,18,1
645,31,6,13,3,9,4,4,1,3,0,2,4,6,19,0
646,40,11,25,7,13,9,10,5,6,0,2,3,3,38,1
647,40,8,21,5,15,4,4,7,4,3,0,2,4,25,0
648,35,8,20,6,13,8,9,2,1,0,1,6,4,30,0
649,39,6,19,4,14,1,1,5,2,1,1,4,4,17,0
650,17,2,6,1,5,3,5,2,3,0,2,1,1,8,0
651,23,4,8,3,6,3,3,3,5,0,3,3,1,14,1
652,26,3,8,2,5,5,5,2,5,1,4,1,4,13,1
653,27,7,17,2,9,6,7,9,4,2,0,2,2,22,1
654,18,5,9,2,5,2,3,3,3,0,2,1,1,14,1
655,31,11,19,6,12,4,4,5,5,0,3,2,1,32,1
656,28,12,21,8,13,3,3,4,2,0,0,2,2,35,1
657,34,9,18,3,10,5,6,3,4,0,0,1,4,26,0
658,34,8,19,4,10,3,4,1,8,0,1,3,4,23,1
659,34,9,17,5,8,5,5,1,3,0,0,5,1,28,1
660,30,10,21,5,10,3,4,4,3,0,1,3,4,28,1
661,30,6,14,2,6,7,8,1,7,1,2,1,1,21,1
662,31,5,17,0,10,3,3,8,10,1,2,3,2,13,0
663,36,16,26,13,17,1,2,5,5,0,2,2,4,46,1
664,31,8,12,4,8,4,4,3,6,0,1,1,5,24,1
665,30,10,17,7,13,6,6,5,6,0,1,1,4,33,1
666,37,9,17,5,9,7,7,6,6,0,2,2,3,30,1
667,37,10,19,3,9,12,13,3,7,0,1,3,3,35,1
668,36,7,20,2,10,0,0,3,8,1,4,4,2,16,1
669,35,7,21,1,11,5,5,5,5,0,1,4,3,20,1
670,30,6,11,2,6,8,8,6,6,0,1,1,1,22,1
671,29,11,18,7,12,2,2,5,9,0,1,1,1,31,1
672,36,8,17,4,10,4,4,5,5,0,3,1,3,24,1
673,37,13,19,4,8,4,4,8,6,0,1,4,6,34,1
674,38,6,17,4,11,9,11,3,3,0,2,2,3,25,1
675,38,9,22,4,13,6,6,3,5,1,3,6,5,28,0
676,30,10,15,5,7,6,6,2,1,0,1,2,3,31,1
677,29,4,10,2,7,3,4,4,11,1,2,4,0,13,1
678,33,7,16,0,8,5,5,4,6,0,7,3,3,19,1
679,36,7,16,3,9,9,9,5,2,0,2,2,3,26,1
680,31,4,14,3,11,6,6,8,3,0,0,3,4,17,0
681,32,6,13,2,5,8,8,4,9,0,1,3,0,22,1
682,34,11,23,5,9,3,4,4,7,0,1,2,2,30,1
683,34,3,14,2,8,0,0,10,8,0,1,0,3,8,1
684,27,6,11,5,8,2,2,3,6,0,0,3,3,19,1
685,30,8,18,4,9,5,5,3,4,0,3,0,0,25,1
686,33,6,19,3,13,0,0,2,7,0,5,5,2,15,1
687,35,7,16,5,10,6,6,3,8,0,2,1,5,25,1
688,37,4,11,2,7,5,6,3,3,0,3,4,3,15,0
689,36,9,18,3,6,7,7,7,7,0,0,3,2,28,1
690,30,5,12,3,6,1,1,4,5,0,1,2,1,14,1
691,35,8,18,3,9,3,3,3,5,0,0,2,3,22,1
692,36,12,25,5,13,6,8,7,5,0,1,1,5,35,1
693,42,15,27,5,13,5,5,3,6,1,1,2,4,40,0
694,37,11,22,5,11,3,3,4,6,0,2,3,4,30,1
695,36,8,21,4,11,4,5,8,9,1,1,0,3,24,1
696,30,9,17,3,9,3,3,2,7,0,5,0,8,24,1
697,31,7,20,5,12,1,2,2,11,0,4,2,3,20,1
698,34,9,19,2,6,4,4,4,8,0,3,0,3,24,1
699,33,8,18,5,11,3,5,1,7,0,1,1,1,24,1
700,30,8,15,7,13,4,4,4,6,0,0,2,3,27,1
701,37,7,19,3,9,4,5,9,8,1,0,2,4,21,0
702,36,11,23,6,12,0,0,2,7,1,1,2,4,28,1
703,29,15,23,9,15,4,4,9,6,0,0,1,2,43,1
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
705,30,14,20,11,15,0,0,5,8,0,3,2,1,39,1
706,37,11,23,3,10,4,4,3,11,0,3,1,4,29,1
707,42,11,20,8,14,5,6,4,9,0,3,2,3,35,0
708,28,5,11,1,4,2,2,1,6,0,1,4,2,13,1
709,35,6,13,2,6,4,5,4,5,0,0,3,3,18,1
710,34,9,19,4,11,4,4,8,9,0,2,2,0,26,1
711,27,4,18,1,11,2,2,2,5,0,1,1,1,11,0
712,30,4,14,2,8,3,4,6,9,2,0,2,3,13,1
713,28,8,16,5,11,0,0,4,6,0,1,3,0,21,1
714,32,10,16,6,10,9,10,7,5,0,4,5,4,35,1
715,35,9,21,5,10,4,4,5,5,0,3,2,4,27,1
716,35,7,23,0,11,5,5,4,6,0,2,2,4,19,1
717,34,9,20,2,9,5,6,7,4,0,2,3,5,25,0
718,35,10,27,2,11,1,1,6,5,0,5,4,4,23,0
719,37,11,24,5,13,4,6,8,6,0,2,2,2,31,1
720,35,8,20,6,15,2,3,4,9,0,0,4,2,24,1
721,35,8,16,2,9,5,5,5,6,1,0,4,4,23,0
722,35,10,27,1,8,5,5,6,7,0,1,4,6,26,0
723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,37,8,23,5,13,8,8,6,5,0,3,3,5,29,1
725,28,8,15,2,7,7,7,1,9,0,3,1,2,25,1
726,30,9,13,6,8,4,4,4,4,1,1,3,3,28,1
727,30,8,17,7,12,0,0,4,6,0,0,3,5,23,1
728,30,7,14,3,9,0,0,5,9,0,2,1,0,17,1
729,33,9,18,5,11,4,4,7,12,0,6,0,3,27,1
730,36,8,18,5,12,0,0,1,11,0,4,1,5,21,1
731,33,11,22,3,11,7,10,10,7,0,2,5,6,32,1
732,35,9,20,4,8,7,7,4,11,0,1,5,2,29,1
733,35,8,18,4,9,4,5,7,5,0,2,4,2,24,1
734,36,15,22,9,14,3,3,1,8,0,1,3,1,42,1
735,30,7,18,3,8,2,4,3,9,2,3,2,3,19,1
736,35,15,25,8,12,4,7,4,11,2,2,0,3,42,1
737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
738,30,9,16,6,8,4,5,4,4,0,1,1,1,28,0
739,28,6,17,5,14,3,4,5,8,0,2,1,5,20,1
740,36,9,19,3,8,8,8,5,4,1,1,5,5,29,1
741,31,6,18,4,12,3,5,5,6,1,4,1,4,19,1
742,39,10,25,5,14,9,10,4,8,1,2,1,1,34,1
743,30,12,20,7,11,6,7,7,8,0,1,0,4,37,1
744,30,7,11,1,4,7,7,7,5,0,1,1,4,22,1
745,38,8,15,5,8,2,2,4,6,0,2,3,3,23,1
746,37,6,20,3,11,8,9,5,4,0,0,2,0,23,1
747,35,9,15,4,10,8,8,5,7,1,0,2,2,30,1
748,39,14,26,7,16,5,7,7,3,0,3,0,3,40,1
749,31,8,13,6,9,7,7,7,7,0,3,3,2,29,1
750,34,8,15,3,7,2,2,5,3,0,6,3,5,21,1
751,34,14,24,5,13,3,3,5,6,0,0,2,6,36,1
752,34,11,22,6,11,0,0,6,10,0,3,3,2,28,1
753,36,7,17,4,11,14,14,10,11,0,1,3,8,32,1
754,39,8,19,5,9,5,5,13,6,0,2,3,1,26,1
755,38,4,13,2,9,4,5,5,10,0,2,2,4,14,0
756,41,10,20,2,9,12,15,6,10,0,3,3,4,34,1
757,24,3,12,1,7,4,4,4,2,0,1,0,1,11,0
758,24,5,9,3,6,1,2,6,4,1,0,5,3,14,0
759,31,13,20,6,9,8,9,6,8,0,3,3,1,40,1
760,19,6,12,4,6,2,2,3,3,0,1,0,1,18,1
761,30,8,18,3,9,3,3,5,4,0,1,4,2,22,0
762,35,7,16,4,11,10,10,3,8,0,0,1,1,28,1
763,30,9,17,6,11,13,13,6,3,0,0,5,2,37,0
764,31,7,15,2,10,13,13,2,8,0,4,1,6,29,1
765,38,9,20,4,11,8,8,4,5,1,3,2,2,30,1
766,36,7,19,3,13,3,3,5,8,0,2,2,2,20,1
767,35,11,17,3,7,2,3,6,8,0,1,3,5,27,0
768,30,9,14,7,11,6,8,5,6,1,2,3,1,31,1
769,32,7,13,3,4,4,4,8,5,0,3,2,2,21,1
770,30,7,14,5,10,3,4,0,11,0,2,0,3,22,1
771,34,5,19,2,9,4,5,5,4,0,2,3,1,16,1
772,30,7,16,2,7,6,6,8,8,1,2,2,5,22,1
773,30,5,12,3,8,9,9,4,9,0,1,0,2,22,1
774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
775,31,3,14,2,9,1,2,6,5,0,4,5,4,9,0
776,35,11,22,4,9,9,9,5,5,1,0,1,2,35,1
777,33,14,24,4,10,7,8,11,7,0,3,6,7,39,1
778,31,9,18,3,8,3,3,5,6,0,1,1,6,24,0
779,27,10,18,4,11,9,9,7,4,0,2,2,2,33,1
780,36,9,25,3,13,6,6,4,6,0,1,2,1,27,1
781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
782,39,9,20,3,9,7,8,5,7,0,0,4,5,28,1
783,33,9,20,3,8,2,2,6,10,0,3,2,4,23,1
784,30,11,16,5,9,3,4,2,3,0,2,1,0,30,1
785,34,9,19,5,11,8,9,5,11,0,1,5,2,31,1
786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
797,26,13,17,10,13,2,2,4,3,0,0,2,0,38,1
798,34,11,19,6,13,4,5,5,8,0,1,1,3,32,1
799,37,10,20,4,10,5,6,9,5,0,1,3,3,29,1
800,30,11,21,8,16,15,16,6,3,0,3,2,2,45,1
801,35,9,17,5,10,9,10,4,9,0,2,3,6,32,1
802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
804,34,6,12,2,7,10,12,6,9,0,1,3,1,24,1
805,33,8,15,4,8,3,4,4,8,0,2,3,3,23,1
806,35,10,18,6,11,4,4,9,4,0,1,2,6,30,1
807,36,6,20,5,15,2,4,1,8,0,2,2,6,19,0
808,33,9,19,8,15,6,6,6,7,0,0,2,1,32,1
809,37,9,14,5,9,2,3,5,9,0,3,2,2,25,1
810,37,16,24,8,13,9,10,4,5,0,2,2,1,49,1
811,30,4,13,1,7,5,5,2,5,0,0,1,3,14,0
812,36,7,17,3,10,6,6,5,6,0,2,3,6,23,1
813,36,8,16,5,12,3,4,6,4,0,2,2,5,24,0
814,32,6,14,2,9,7,7,5,5,1,1,3,3,21,0
815,30,7,12,4,9,2,2,7,8,0,0,1,4,20,1
816,29,7,13,3,7,0,0,4,8,0,2,0,2,17,1
817,30,8,17,3,9,3,3,9,7,1,0,3,3,22,1
818,34,6,17,3,10,2,2,4,6,0,3,4,7,17,0
819,27,4,14,3,11,0,0,6,5,0,1,0,6,11,0
820,37,14,19,8,11,8,8,6,10,0,2,4,4,44,1
821,30,8,19,5,12,0,0,9,6,0,3,2,2,21,1
822,30,8,16,4,9,1,1,5,5,0,0,1,3,21,1
823,35,5,15,4,9,11,12,5,3,0,2,3,6,25,1
824,24,8,15,4,9,8,8,1,3,0,2,0,0,28,1
825,34,12,20,6,12,4,5,6,4,1,3,2,3,34,1
826,2,0,1,0,0,2,2,0,0,0,0,0,0,2,1
827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,25,10,18,3,8,6,6,7,1,1,0,1,1,29,1
834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
